Spain, Death rates (period 1x1)     Last modified: 22-Feb-2008, MPv5 (May07)

   Year      Age       Female       Male         Total
   1908        0     0.161112     0.190865     0.176291 
   1908        1     0.082262     0.085870     0.084081 
   1908        2     0.045397     0.045655     0.045527 
   1908        3     0.024595     0.025669     0.025137 
   1908        4     0.016370     0.016680     0.016526 
   1908        5     0.011140     0.010852     0.010995 
   1908        6     0.009253     0.008692     0.008970 
   1908        7     0.006117     0.005696     0.005905 
   1908        8     0.005079     0.004818     0.004948 
   1908        9     0.004145     0.003865     0.004004 
   1908       10     0.003803     0.003294     0.003549 
   1908       11     0.003516     0.003105     0.003310 
   1908       12     0.003876     0.003364     0.003622 
   1908       13     0.003746     0.003533     0.003643 
   1908       14     0.004792     0.003898     0.004356 
   1908       15     0.004730     0.003659     0.004213 
   1908       16     0.005372     0.004325     0.004876 
   1908       17     0.005705     0.006337     0.005992 
   1908       18     0.006937     0.007735     0.007304 
   1908       19     0.006602     0.006952     0.006773 
   1908       20     0.007428     0.006650     0.007043 
   1908       21     0.006138     0.006717     0.006419 
   1908       22     0.007900     0.007965     0.007930 
   1908       23     0.007766     0.007957     0.007856 
   1908       24     0.008687     0.008333     0.008516 
   1908       25     0.007850     0.007871     0.007860 
   1908       26     0.008493     0.008003     0.008259 
   1908       27     0.006791     0.006303     0.006564 
   1908       28     0.008124     0.007841     0.007992 
   1908       29     0.007568     0.007109     0.007345 
   1908       30     0.013458     0.009533     0.011549 
   1908       31     0.006147     0.005751     0.005955 
   1908       32     0.009750     0.007986     0.008911 
   1908       33     0.008049     0.008276     0.008156 
   1908       34     0.009114     0.008480     0.008814 
   1908       35     0.009805     0.009748     0.009778 
   1908       36     0.010153     0.009792     0.009979 
   1908       37     0.005882     0.005894     0.005888 
   1908       38     0.007605     0.008556     0.008059 
   1908       39     0.007834     0.008370     0.008098 
   1908       40     0.018562     0.017032     0.017813 
   1908       41     0.006749     0.007959     0.007337 
   1908       42     0.010831     0.012100     0.011454 
   1908       43     0.007027     0.009210     0.008094 
   1908       44     0.010944     0.013002     0.011939 
   1908       45     0.012510     0.015670     0.014036 
   1908       46     0.011342     0.013919     0.012600 
   1908       47     0.005941     0.009519     0.007641 
   1908       48     0.009904     0.013993     0.011846 
   1908       49     0.011048     0.013208     0.012123 
   1908       50     0.029242     0.029158     0.029200 
   1908       51     0.008743     0.012557     0.010574 
   1908       52     0.014484     0.018714     0.016502 
   1908       53     0.011163     0.015451     0.013224 
   1908       54     0.017107     0.023190     0.020011 
   1908       55     0.020315     0.024482     0.022295 
   1908       56     0.021095     0.027699     0.024271 
   1908       57     0.010388     0.015663     0.012781 
   1908       58     0.015662     0.021907     0.018496 
   1908       59     0.018329     0.025391     0.021827 
   1908       60     0.072429     0.060436     0.066523 
   1908       61     0.019285     0.025146     0.022141 
   1908       62     0.032004     0.039944     0.035793 
   1908       63     0.028298     0.034162     0.031130 
   1908       64     0.046267     0.051424     0.048814 
   1908       65     0.053846     0.059993     0.056814 
   1908       66     0.056044     0.062552     0.059158 
   1908       67     0.029872     0.040103     0.034571 
   1908       68     0.044110     0.054682     0.048963 
   1908       69     0.040819     0.052251     0.046412 
   1908       70     0.193079     0.152819     0.173366 
   1908       71     0.050981     0.055314     0.053136 
   1908       72     0.089531     0.090782     0.090139 
   1908       73     0.066668     0.080704     0.073373 
   1908       74     0.107407     0.113978     0.110575 
   1908       75     0.142502     0.137775     0.140209 
   1908       76     0.128135     0.136578     0.132179 
   1908       77     0.074318     0.107382     0.088591 
   1908       78     0.112688     0.147453     0.127389 
   1908       79     0.098324     0.129896     0.112567 
   1908       80     0.262641     0.264976     0.263622 
   1908       81     0.073877     0.089354     0.080358 
   1908       82     0.143703     0.176652     0.157258 
   1908       83     0.112175     0.151016     0.127844 
   1908       84     0.187637     0.237431     0.207343 
   1908       85     0.191169     0.224229     0.203949 
   1908       86     0.189606     0.237885     0.207887 
   1908       87     0.165264     0.211403     0.182449 
   1908       88     0.200271     0.295865     0.235139 
   1908       89     0.156873     0.213956     0.176805 
   1908       90     0.392922     0.388721     0.391518 
   1908       91     0.117790     0.161243     0.131711 
   1908       92     0.191560     0.227947     0.202764 
   1908       93     0.196914     0.246617     0.211876 
   1908       94     0.241904     0.226654     0.237346 
   1908       95     0.297526     0.281734     0.292858 
   1908       96     0.347983     0.406683     0.364333 
   1908       97     0.302048     0.323611     0.307602 
   1908       98     0.392930     0.449428     0.407027 
   1908       99     0.311456     0.324216     0.314338 
   1908      100     0.326206     0.151971     0.291065 
   1908      101     0.446455     0.580395     0.476093 
   1908      102     0.478463     0.639205     0.511649 
   1908      103     0.511731     0.783966     0.559642 
   1908      104     0.547652     1.008212     0.613834 
   1908      105     0.607968     1.404624     0.697043 
   1908      106     0.703421     2.445378     0.831025 
   1908      107     0.853264     6.000000     0.960759 
   1908      108     1.300161            .     1.300161 
   1908      109     2.467005            .     2.467005 
   1908      110+    6.000000            .     6.000000 
   1909        0     0.164211     0.195520     0.180195 
   1909        1     0.079795     0.082651     0.081241 
   1909        2     0.040983     0.042996     0.041996 
   1909        3     0.024567     0.024946     0.024758 
   1909        4     0.016823     0.016409     0.016614 
   1909        5     0.010540     0.010942     0.010742 
   1909        6     0.009045     0.008556     0.008799 
   1909        7     0.006012     0.006183     0.006098 
   1909        8     0.004417     0.004351     0.004384 
   1909        9     0.003472     0.003807     0.003640 
   1909       10     0.003532     0.003416     0.003474 
   1909       11     0.003198     0.003093     0.003146 
   1909       12     0.003367     0.003326     0.003346 
   1909       13     0.003709     0.003307     0.003509 
   1909       14     0.004475     0.003970     0.004229 
   1909       15     0.004709     0.004058     0.004391 
   1909       16     0.005311     0.004391     0.004867 
   1909       17     0.005780     0.005884     0.005829 
   1909       18     0.006446     0.007666     0.007000 
   1909       19     0.005662     0.007545     0.006528 
   1909       20     0.007093     0.007849     0.007462 
   1909       21     0.006307     0.006486     0.006395 
   1909       22     0.008553     0.008739     0.008643 
   1909       23     0.007231     0.008375     0.007765 
   1909       24     0.007837     0.008190     0.008003 
   1909       25     0.008482     0.008212     0.008352 
   1909       26     0.008371     0.007413     0.007912 
   1909       27     0.007648     0.007608     0.007629 
   1909       28     0.008127     0.007516     0.007842 
   1909       29     0.005951     0.006107     0.006024 
   1909       30     0.015098     0.011209     0.013205 
   1909       31     0.006208     0.006137     0.006173 
   1909       32     0.010204     0.009447     0.009838 
   1909       33     0.008669     0.008708     0.008688 
   1909       34     0.008891     0.008265     0.008595 
   1909       35     0.009915     0.010484     0.010185 
   1909       36     0.010888     0.009723     0.010331 
   1909       37     0.008081     0.008900     0.008477 
   1909       38     0.008230     0.008388     0.008306 
   1909       39     0.005786     0.006920     0.006327 
   1909       40     0.021975     0.019461     0.020736 
   1909       41     0.006943     0.007911     0.007417 
   1909       42     0.012254     0.014316     0.013256 
   1909       43     0.007403     0.009603     0.008482 
   1909       44     0.009751     0.011479     0.010595 
   1909       45     0.014165     0.018368     0.016195 
   1909       46     0.011367     0.014924     0.013083 
   1909       47     0.009092     0.013444     0.011213 
   1909       48     0.009173     0.013414     0.011183 
   1909       49     0.006992     0.010998     0.008891 
   1909       50     0.031081     0.031340     0.031210 
   1909       51     0.010766     0.014315     0.012515 
   1909       52     0.017419     0.023309     0.020239 
   1909       53     0.011562     0.016248     0.013792 
   1909       54     0.017177     0.021351     0.019179 
   1909       55     0.021847     0.028094     0.024821 
   1909       56     0.022240     0.029095     0.025487 
   1909       57     0.017155     0.023025     0.019968 
   1909       58     0.016238     0.021533     0.018633 
   1909       59     0.011573     0.019148     0.014998 
   1909       60     0.079285     0.068588     0.073982 
   1909       61     0.021234     0.027916     0.024529 
   1909       62     0.038969     0.045910     0.042339 
   1909       63     0.030005     0.038235     0.033917 
   1909       64     0.043780     0.048996     0.046291 
   1909       65     0.059813     0.062281     0.061029 
   1909       66     0.055008     0.062433     0.058583 
   1909       67     0.049419     0.058371     0.053683 
   1909       68     0.046100     0.055552     0.050418 
   1909       69     0.028805     0.038345     0.033161 
   1909       70     0.214190     0.174244     0.194519 
   1909       71     0.054542     0.063712     0.059075 
   1909       72     0.119398     0.113424     0.116429 
   1909       73     0.082312     0.085761     0.083986 
   1909       74     0.098554     0.111195     0.104559 
   1909       75     0.151769     0.158765     0.155132 
   1909       76     0.140856     0.141735     0.141282 
   1909       77     0.124036     0.145084     0.134046 
   1909       78     0.120722     0.160356     0.137492 
   1909       79     0.067986     0.101828     0.082010 
   1909       80     0.271549     0.268280     0.270182 
   1909       81     0.080388     0.102965     0.089835 
   1909       82     0.147403     0.182363     0.161824 
   1909       83     0.125979     0.151426     0.136241 
   1909       84     0.205224     0.241177     0.219411 
   1909       85     0.210444     0.246762     0.224473 
   1909       86     0.194488     0.250050     0.215402 
   1909       87     0.175475     0.240621     0.199302 
   1909       88     0.222822     0.294127     0.248258 
   1909       89     0.180635     0.247004     0.203736 
   1909       90     0.397476     0.444531     0.413442 
   1909       91     0.139061     0.166389     0.148007 
   1909       92     0.208442     0.222656     0.212899 
   1909       93     0.187147     0.216748     0.196052 
   1909       94     0.239480     0.247481     0.241852 
   1909       95     0.315298     0.361656     0.329118 
   1909       96     0.334329     0.355832     0.340585 
   1909       97     0.392404     0.378500     0.388604 
   1909       98     0.464694     0.423506     0.454183 
   1909       99     0.359366     0.485711     0.390178 
   1909      100     0.768695     0.915378     0.800524 
   1909      101     0.230997     0.304685     0.244824 
   1909      102     0.230863     0.308676     0.246653 
   1909      103     0.231966     0.332034     0.250468 
   1909      104     0.231209     0.433526     0.259866 
   1909      105     0.229642     0.662577     0.269961 
   1909      106     0.241079     0.000000     0.228191 
   1909      107     0.270627            .     0.270627 
   1909      108     0.000000            .     0.000000 
   1909      109     0.000000            .     0.000000 
   1909      110+           .            .            . 
   1910        0     0.183066     0.217405     0.200558 
   1910        1     0.081688     0.084854     0.083292 
   1910        2     0.041307     0.042454     0.041887 
   1910        3     0.023460     0.023557     0.023509 
   1910        4     0.015698     0.015037     0.015365 
   1910        5     0.010015     0.010634     0.010327 
   1910        6     0.008162     0.008166     0.008164 
   1910        7     0.005883     0.005785     0.005834 
   1910        8     0.004506     0.004475     0.004491 
   1910        9     0.003602     0.003538     0.003570 
   1910       10     0.003672     0.003750     0.003712 
   1910       11     0.002958     0.002973     0.002966 
   1910       12     0.003310     0.003185     0.003247 
   1910       13     0.003293     0.002743     0.003018 
   1910       14     0.004201     0.003501     0.003853 
   1910       15     0.004738     0.003940     0.004349 
   1910       16     0.005341     0.004521     0.004940 
   1910       17     0.005635     0.005566     0.005602 
   1910       18     0.006110     0.007109     0.006584 
   1910       19     0.005741     0.007023     0.006322 
   1910       20     0.007320     0.007461     0.007385 
   1910       21     0.006533     0.006918     0.006721 
   1910       22     0.008123     0.007499     0.007814 
   1910       23     0.007346     0.008005     0.007666 
   1910       24     0.007413     0.007390     0.007403 
   1910       25     0.007470     0.007408     0.007441 
   1910       26     0.008222     0.007754     0.007996 
   1910       27     0.007363     0.006865     0.007124 
   1910       28     0.009235     0.008393     0.008833 
   1910       29     0.005642     0.005287     0.005477 
   1910       30     0.010155     0.008792     0.009518 
   1910       31     0.006435     0.006307     0.006373 
   1910       32     0.009597     0.008200     0.008917 
   1910       33     0.008962     0.008711     0.008840 
   1910       34     0.009300     0.008588     0.008961 
   1910       35     0.009526     0.008964     0.009261 
   1910       36     0.010624     0.009900     0.010281 
   1910       37     0.007811     0.008711     0.008242 
   1910       38     0.011036     0.011339     0.011182 
   1910       39     0.005651     0.006016     0.005825 
   1910       40     0.013625     0.013309     0.013474 
   1910       41     0.007521     0.009135     0.008316 
   1910       42     0.011401     0.014068     0.012706 
   1910       43     0.008030     0.010406     0.009183 
   1910       44     0.010333     0.011250     0.010783 
   1910       45     0.011233     0.015060     0.013100 
   1910       46     0.012163     0.014777     0.013423 
   1910       47     0.008941     0.012333     0.010574 
   1910       48     0.012898     0.017065     0.014924 
   1910       49     0.006283     0.010132     0.008104 
   1910       50     0.018449     0.020859     0.019589 
   1910       51     0.010342     0.013891     0.012105 
   1910       52     0.017875     0.021860     0.019835 
   1910       53     0.012760     0.018094     0.015307 
   1910       54     0.016450     0.021541     0.018866 
   1910       55     0.018754     0.024014     0.021270 
   1910       56     0.023860     0.027974     0.025813 
   1910       57     0.016678     0.023364     0.019835 
   1910       58     0.025005     0.030896     0.027820 
   1910       59     0.010108     0.016394     0.012941 
   1910       60     0.042642     0.046407     0.044340 
   1910       61     0.023523     0.030061     0.026767 
   1910       62     0.039134     0.045306     0.042168 
   1910       63     0.033745     0.041176     0.037340 
   1910       64     0.040523     0.047982     0.044055 
   1910       65     0.049996     0.057811     0.053746 
   1910       66     0.056007     0.061496     0.058706 
   1910       67     0.042822     0.056496     0.049374 
   1910       68     0.066407     0.074812     0.070388 
   1910       69     0.026601     0.038411     0.031967 
   1910       70     0.114895     0.110475     0.112881 
   1910       71     0.064757     0.069672     0.067201 
   1910       72     0.116178     0.119791     0.117961 
   1910       73     0.100782     0.108362     0.104548 
   1910       74     0.106099     0.114956     0.110379 
   1910       75     0.135909     0.142733     0.139132 
   1910       76     0.147894     0.157721     0.152604 
   1910       77     0.129956     0.144584     0.137013 
   1910       78     0.200228     0.209756     0.204718 
   1910       79     0.067805     0.093900     0.078629 
   1910       80     0.263447     0.263645     0.263528 
   1910       81     0.078532     0.105950     0.089950 
   1910       82     0.151754     0.181556     0.164019 
   1910       83     0.116955     0.158200     0.133641 
   1910       84     0.196653     0.242604     0.214774 
   1910       85     0.206418     0.248215     0.222502 
   1910       86     0.214234     0.267353     0.234180 
   1910       87     0.177032     0.218096     0.191963 
   1910       88     0.232195     0.304104     0.257466 
   1910       89     0.156573     0.214152     0.176217 
   1910       90     0.409218     0.424578     0.414400 
   1910       91     0.145673     0.167998     0.153116 
   1910       92     0.236721     0.246658     0.239933 
   1910       93     0.176916     0.229477     0.193100 
   1910       94     0.216332     0.246332     0.225141 
   1910       95     0.290021     0.328120     0.301072 
   1910       96     0.394198     0.406629     0.397832 
   1910       97     0.314580     0.451284     0.353477 
   1910       98     0.519558     0.683600     0.562269 
   1910       99     0.433123     0.457959     0.439079 
   1910      100     0.243599     0.237712     0.242227 
   1910      101     0.437004     0.528097     0.455623 
   1910      102     0.452033     0.542244     0.468003 
   1910      103     0.475750     0.568989     0.493420 
   1910      104     0.503397     0.643939     0.526993 
   1910      105     0.530567     1.064177     0.587460 
   1910      106     0.561363     2.478873     0.652145 
   1910      107     0.645470     6.000000     0.712258 
   1910      108     0.781469            .     0.781469 
   1910      109     0.948490            .     0.948490 
   1910      110+    1.500000            .     1.500000 
   1911        0     0.186126     0.215096     0.201033 
   1911        1     0.103332     0.109129     0.106258 
   1911        2     0.048273     0.048600     0.048438 
   1911        3     0.025042     0.024618     0.024827 
   1911        4     0.015295     0.016099     0.015699 
   1911        5     0.010819     0.010929     0.010874 
   1911        6     0.008723     0.007999     0.008358 
   1911        7     0.005928     0.005621     0.005774 
   1911        8     0.004638     0.004550     0.004594 
   1911        9     0.003861     0.004021     0.003941 
   1911       10     0.003677     0.003482     0.003579 
   1911       11     0.003324     0.003081     0.003203 
   1911       12     0.003355     0.003215     0.003285 
   1911       13     0.003441     0.003046     0.003244 
   1911       14     0.004172     0.003552     0.003862 
   1911       15     0.004868     0.004137     0.004505 
   1911       16     0.005266     0.004841     0.005059 
   1911       17     0.006222     0.005908     0.006069 
   1911       18     0.006663     0.006650     0.006657 
   1911       19     0.006070     0.006501     0.006274 
   1911       20     0.006781     0.007488     0.007101 
   1911       21     0.005621     0.006959     0.006238 
   1911       22     0.008478     0.008002     0.008246 
   1911       23     0.007469     0.007721     0.007594 
   1911       24     0.007720     0.007321     0.007527 
   1911       25     0.007590     0.007130     0.007375 
   1911       26     0.007723     0.007009     0.007386 
   1911       27     0.007538     0.007668     0.007601 
   1911       28     0.008779     0.007402     0.008119 
   1911       29     0.005987     0.005765     0.005881 
   1911       30     0.009480     0.007829     0.008711 
   1911       31     0.004938     0.005072     0.005001 
   1911       32     0.010655     0.009007     0.009852 
   1911       33     0.008617     0.008097     0.008363 
   1911       34     0.009529     0.008287     0.008929 
   1911       35     0.009216     0.008793     0.009015 
   1911       36     0.009448     0.008740     0.009114 
   1911       37     0.008055     0.007934     0.007997 
   1911       38     0.009477     0.010006     0.009730 
   1911       39     0.007016     0.008623     0.007793 
   1911       40     0.012519     0.011937     0.012242 
   1911       41     0.004820     0.005624     0.005204 
   1911       42     0.013132     0.013914     0.013517 
   1911       43     0.008119     0.009632     0.008859 
   1911       44     0.011103     0.012923     0.011987 
   1911       45     0.011700     0.014498     0.013071 
   1911       46     0.009367     0.011712     0.010509 
   1911       47     0.009399     0.011690     0.010503 
   1911       48     0.012766     0.015983     0.014313 
   1911       49     0.008661     0.011482     0.010033 
   1911       50     0.017637     0.018194     0.017900 
   1911       51     0.006361     0.010099     0.008126 
   1911       52     0.019037     0.022843     0.020925 
   1911       53     0.013349     0.017563     0.015418 
   1911       54     0.018797     0.022582     0.020600 
   1911       55     0.018355     0.021935     0.020054 
   1911       56     0.018412     0.024094     0.021123 
   1911       57     0.015433     0.023449     0.019232 
   1911       58     0.023551     0.030914     0.027017 
   1911       59     0.016759     0.024596     0.020497 
   1911       60     0.040635     0.039923     0.040315 
   1911       61     0.013030     0.019480     0.015941 
   1911       62     0.042214     0.049002     0.045569 
   1911       63     0.034730     0.041767     0.038177 
   1911       64     0.045490     0.049725     0.047531 
   1911       65     0.048584     0.054781     0.051509 
   1911       66     0.046636     0.053894     0.050108 
   1911       67     0.048837     0.057038     0.052855 
   1911       68     0.060506     0.068094     0.064121 
   1911       69     0.039094     0.052039     0.045203 
   1911       70     0.110536     0.103002     0.107119 
   1911       71     0.032475     0.045158     0.038257 
   1911       72     0.130543     0.129003     0.129782 
   1911       73     0.101927     0.108746     0.105274 
   1911       74     0.128154     0.134284     0.131176 
   1911       75     0.142652     0.145314     0.143928 
   1911       76     0.131628     0.138255     0.134733 
   1911       77     0.135012     0.156482     0.145204 
   1911       78     0.196912     0.217253     0.206588 
   1911       79     0.121042     0.139398     0.129562 
   1911       80     0.267647     0.252119     0.261304 
   1911       81     0.082694     0.114456     0.095735 
   1911       82     0.151895     0.179243     0.163094 
   1911       83     0.117056     0.163243     0.135668 
   1911       84     0.197873     0.244135     0.216092 
   1911       85     0.200365     0.234281     0.213391 
   1911       86     0.211958     0.258984     0.229573 
   1911       87     0.178135     0.226132     0.195621 
   1911       88     0.223699     0.298160     0.249787 
   1911       89     0.157862     0.228656     0.181587 
   1911       90     0.435991     0.478876     0.450140 
   1911       91     0.148046     0.176703     0.157568 
   1911       92     0.233247     0.301646     0.255587 
   1911       93     0.196696     0.259761     0.216412 
   1911       94     0.246424     0.292794     0.260206 
   1911       95     0.272491     0.360442     0.297352 
   1911       96     0.391553     0.406582     0.395777 
   1911       97     0.370538     0.443427     0.391196 
   1911       98     0.527870     0.482050     0.515606 
   1911       99     0.413824     0.371567     0.403096 
   1911      100     0.342823     0.387782     0.353528 
   1911      101     0.505503     0.426030     0.487158 
   1911      102     0.548177     0.443386     0.526546 
   1911      103     0.574677     0.443350     0.551594 
   1911      104     0.623229     0.435629     0.586781 
   1911      105     0.686653     0.497362     0.654849 
   1911      106     0.751954     0.755396     0.752187 
   1911      107     0.830812            .     0.830812 
   1911      108     1.124248            .     1.124248 
   1911      109     1.899160            .     1.899160 
   1911      110+    4.187500            .     4.187500 
   1912        0     0.140464     0.163762     0.152576 
   1912        1     0.072928     0.075466     0.074222 
   1912        2     0.041770     0.045294     0.043545 
   1912        3     0.023305     0.023408     0.023357 
   1912        4     0.014363     0.015025     0.014697 
   1912        5     0.010487     0.010582     0.010535 
   1912        6     0.008981     0.008499     0.008739 
   1912        7     0.005868     0.005896     0.005882 
   1912        8     0.004697     0.004481     0.004589 
   1912        9     0.004164     0.003895     0.004029 
   1912       10     0.003628     0.003654     0.003641 
   1912       11     0.003485     0.003025     0.003256 
   1912       12     0.003482     0.003116     0.003300 
   1912       13     0.003373     0.003075     0.003224 
   1912       14     0.003897     0.003489     0.003694 
   1912       15     0.004368     0.003425     0.003898 
   1912       16     0.004839     0.004121     0.004485 
   1912       17     0.005583     0.005785     0.005681 
   1912       18     0.006018     0.006557     0.006280 
   1912       19     0.005339     0.005986     0.005650 
   1912       20     0.006379     0.006560     0.006464 
   1912       21     0.005372     0.006695     0.005974 
   1912       22     0.007765     0.008107     0.007923 
   1912       23     0.007745     0.007468     0.007610 
   1912       24     0.007603     0.006982     0.007296 
   1912       25     0.007898     0.006731     0.007333 
   1912       26     0.007302     0.006894     0.007111 
   1912       27     0.007107     0.006345     0.006747 
   1912       28     0.008916     0.007759     0.008358 
   1912       29     0.005568     0.005352     0.005465 
   1912       30     0.010625     0.008852     0.009777 
   1912       31     0.004363     0.004237     0.004304 
   1912       32     0.007787     0.007238     0.007529 
   1912       33     0.009528     0.008812     0.009179 
   1912       34     0.008767     0.008033     0.008410 
   1912       35     0.009573     0.008635     0.009120 
   1912       36     0.008924     0.007954     0.008463 
   1912       37     0.007061     0.006922     0.006995 
   1912       38     0.010291     0.010059     0.010181 
   1912       39     0.006764     0.007712     0.007218 
   1912       40     0.015900     0.013754     0.014862 
   1912       41     0.004578     0.005468     0.005003 
   1912       42     0.008427     0.010003     0.009179 
   1912       43     0.009048     0.010171     0.009601 
   1912       44     0.010757     0.012112     0.011420 
   1912       45     0.012768     0.016051     0.014362 
   1912       46     0.008822     0.012212     0.010482 
   1912       47     0.007404     0.011034     0.009172 
   1912       48     0.013563     0.017107     0.015272 
   1912       49     0.007816     0.012624     0.010130 
   1912       50     0.023936     0.025854     0.024870 
   1912       51     0.005800     0.008827     0.007229 
   1912       52     0.011162     0.015742     0.013319 
   1912       53     0.013720     0.018676     0.016174 
   1912       54     0.017693     0.021827     0.019720 
   1912       55     0.020233     0.024920     0.022465 
   1912       56     0.019412     0.023196     0.021206 
   1912       57     0.013873     0.020349     0.016957 
   1912       58     0.024252     0.030667     0.027288 
   1912       59     0.015887     0.023204     0.019326 
   1912       60     0.063838     0.056806     0.060481 
   1912       61     0.010930     0.017461     0.013868 
   1912       62     0.023515     0.032535     0.027581 
   1912       63     0.036977     0.044383     0.040620 
   1912       64     0.046489     0.051816     0.049088 
   1912       65     0.053731     0.058512     0.056030 
   1912       66     0.044492     0.052525     0.048274 
   1912       67     0.037906     0.046388     0.041948 
   1912       68     0.064007     0.066953     0.065445 
   1912       69     0.039555     0.047139     0.043158 
   1912       70     0.160006     0.142770     0.151842 
   1912       71     0.030038     0.036812     0.033111 
   1912       72     0.065650     0.078659     0.071546 
   1912       73     0.102501     0.113878     0.108074 
   1912       74     0.124880     0.128972     0.126864 
   1912       75     0.171984     0.164631     0.168398 
   1912       76     0.126833     0.129944     0.128310 
   1912       77     0.107736     0.133136     0.119463 
   1912       78     0.195568     0.213175     0.203746 
   1912       79     0.101289     0.124100     0.111908 
   1912       80     0.255516     0.249874     0.253195 
   1912       81     0.072825     0.092055     0.080653 
   1912       82     0.143381     0.177802     0.157279 
   1912       83     0.101509     0.144505     0.118738 
   1912       84     0.186093     0.228324     0.202660 
   1912       85     0.194155     0.247379     0.214548 
   1912       86     0.200365     0.239992     0.215175 
   1912       87     0.167404     0.219816     0.186465 
   1912       88     0.220447     0.299481     0.248120 
   1912       89     0.138323     0.216397     0.164294 
   1912       90     0.399220     0.417596     0.405140 
   1912       91     0.115114     0.154878     0.127972 
   1912       92     0.226335     0.255759     0.235857 
   1912       93     0.167776     0.236224     0.189307 
   1912       94     0.232085     0.288307     0.248937 
   1912       95     0.313383     0.379297     0.332096 
   1912       96     0.335743     0.415101     0.357054 
   1912       97     0.267687     0.300872     0.276703 
   1912       98     0.521140     0.536104     0.525332 
   1912       99     0.513454     0.469523     0.501459 
   1912      100     0.283758     0.374552     0.306627 
   1912      101     0.415474     0.540898     0.444250 
   1912      102     0.431300     0.575685     0.464484 
   1912      103     0.449712     0.656914     0.490652 
   1912      104     0.459542     0.671598     0.496915 
   1912      105     0.483241     0.704042     0.526504 
   1912      106     0.525510     0.960725     0.594272 
   1912      107     0.571576     6.000000     0.667678 
   1912      108     0.634051            .     0.634051 
   1912      109     1.244147            .     1.244147 
   1912      110+           .            .            . 
   1913        0     0.156199     0.178094     0.167577 
   1913        1     0.074818     0.076490     0.075680 
   1913        2     0.043454     0.043959     0.043711 
   1913        3     0.026877     0.027335     0.027107 
   1913        4     0.015989     0.016243     0.016117 
   1913        5     0.010475     0.010846     0.010662 
   1913        6     0.008830     0.008218     0.008522 
   1913        7     0.005907     0.005362     0.005633 
   1913        8     0.004543     0.004348     0.004445 
   1913        9     0.003864     0.003829     0.003846 
   1913       10     0.003439     0.003764     0.003602 
   1913       11     0.003427     0.003195     0.003311 
   1913       12     0.003250     0.003197     0.003224 
   1913       13     0.003531     0.003058     0.003297 
   1913       14     0.004117     0.003629     0.003873 
   1913       15     0.004348     0.003584     0.003968 
   1913       16     0.004719     0.004093     0.004408 
   1913       17     0.005421     0.005398     0.005410 
   1913       18     0.006081     0.006933     0.006493 
   1913       19     0.005712     0.006133     0.005916 
   1913       20     0.006695     0.006529     0.006615 
   1913       21     0.005612     0.006647     0.006102 
   1913       22     0.007151     0.008003     0.007540 
   1913       23     0.007281     0.007692     0.007472 
   1913       24     0.008419     0.007919     0.008175 
   1913       25     0.007613     0.006710     0.007168 
   1913       26     0.007904     0.007129     0.007530 
   1913       27     0.006948     0.006950     0.006949 
   1913       28     0.008451     0.007723     0.008106 
   1913       29     0.006010     0.006360     0.006178 
   1913       30     0.010319     0.008246     0.009325 
   1913       31     0.005513     0.005343     0.005432 
   1913       32     0.007047     0.006368     0.006729 
   1913       33     0.006871     0.007684     0.007254 
   1913       34     0.009761     0.009047     0.009414 
   1913       35     0.009435     0.008686     0.009071 
   1913       36     0.010267     0.008884     0.009601 
   1913       37     0.007385     0.007291     0.007340 
   1913       38     0.009405     0.008904     0.009167 
   1913       39     0.006907     0.008292     0.007565 
   1913       40     0.016424     0.015211     0.015843 
   1913       41     0.006168     0.007064     0.006602 
   1913       42     0.007884     0.010041     0.008914 
   1913       43     0.006207     0.008090     0.007106 
   1913       44     0.011092     0.013413     0.012235 
   1913       45     0.013258     0.015796     0.014500 
   1913       46     0.010814     0.014131     0.012425 
   1913       47     0.007656     0.011300     0.009439 
   1913       48     0.011171     0.014882     0.012977 
   1913       49     0.008499     0.013488     0.010904 
   1913       50     0.023475     0.026609     0.024985 
   1913       51     0.008307     0.013016     0.010602 
   1913       52     0.010839     0.015133     0.012860 
   1913       53     0.008565     0.013527     0.010896 
   1913       54     0.019282     0.023627     0.021430 
   1913       55     0.021000     0.025124     0.023019 
   1913       56     0.022280     0.026374     0.024230 
   1913       57     0.013785     0.019985     0.016721 
   1913       58     0.020609     0.028655     0.024433 
   1913       59     0.016693     0.025066     0.020650 
   1913       60     0.060304     0.058012     0.059226 
   1913       61     0.018475     0.025645     0.021900 
   1913       62     0.022300     0.031178     0.026286 
   1913       63     0.019786     0.031627     0.025113 
   1913       64     0.051161     0.056944     0.053991 
   1913       65     0.057008     0.062214     0.059539 
   1913       66     0.050763     0.058833     0.054633 
   1913       67     0.038073     0.049836     0.043590 
   1913       68     0.053252     0.063579     0.058152 
   1913       69     0.039121     0.050380     0.044592 
   1913       70     0.153088     0.138278     0.146036 
   1913       71     0.045900     0.059143     0.052203 
   1913       72     0.061456     0.076025     0.068030 
   1913       73     0.055216     0.075686     0.064415 
   1913       74     0.134876     0.148543     0.141483 
   1913       75     0.164924     0.172683     0.168643 
   1913       76     0.156025     0.165544     0.160611 
   1913       77     0.109862     0.129412     0.118991 
   1913       78     0.159195     0.188543     0.172470 
   1913       79     0.109294     0.142647     0.124414 
   1913       80     0.261837     0.262118     0.261952 
